SDFB Group ID,Name,Description,Start Year Type,Start Year,End Year Type,End Year
86,Company of Mineral and Battery Works,Joint stock corporation dedicated primarily to the brass and iron trades,BF/IN,1568,AF/IN,1700
88,Civil Lawyers,"Students, Professors, and Practitioners of Roman Law.  Also known as ""Civilians."" ",BF,1400,AF,1800
60,Parliamentarians,supporters of Parliament during the English Civil Wars,BF/IN,1641,CA,1678
39,Cabal,Cabal,IN,1667,IN,1673
66,King's Men,Acting Company patented 19 May 1603 (formerly the Lord Chamberlain's Men),IN,1603,CA,1642
9,Sea dogs,Sea dogs,IN,1560,IN,1603
23,Cambridge Platonists,Cambridge Platonists,CA,1630,CA,1690
36,Founder members of the Royal Society,Founder members of the Royal Society,IN,1660,IN,1663
67,Lord Admiral's Men,"theatrical company established by Charles Howard, Baron Howard of Effingham",IN,1594,IN,1625
49,Diggers,Diggers,CA,1649,CA,1649
41,Rye House plotters,Rye House plotters,IN,1683,IN,1683
22,Little Gidding community,Little Gidding community,IN,1626,IN,1657
96,Huguenots,"In the years leading up to and particularly after the Revocation of the Edict of Nantes (1685), many French Protestants moved to London, particularly in the West End and Spitalfields area.",CA,1685,CA,1700
90,English Diplomats,"Individuals ""warranted by [their] sovereign to represent, officially, the English government to a foreign power or interest, located outside of English territorial boundaries"" (Bell, Handlist, 3)",IN,1500,IN,1700
97,St Pauls School London,Teachers and pupils of St Pauls School London,IN,1509,CA,1700
92,Republicans,"Those holding ""a faith in the power of institutions to circumscribe
the authority of the monarch, allied to a belief that such institutions -
Parliament, the law courts, local and national government  - had the
means to make individuals more virtuous and so better able to govern.""  (Andrew Hadfield, ""Republicanism in Sixteenth- and
Seventeenth-Century Britain"")",CA,1500,CA,1700
17,Gunpowder plotters,Gunpowder plotters,IN,1603,IN,1606
81,Virginia Company,a joint stock company chartered to establish colonies in North America,IN,1606,IN,1624
89,Alchemists,People interested in alchemy,CA,1500,CA,1700
93,Jesuits,member of the Society of Jesus,CA,1500,CA,1700
95,Fraternity of Sireniacal Gentlemen,"A drinking society of some of the Elizabethan era's leading literary figures. They met on the first Friday of every month at the Mermaid, Three Cranes, or Mitre taverns in London.",CA,1603,AF,1611
106,Earl of Essex's army,The parliamentarian army commanded by the third Earl of Essex in the first English Civil War,IN,1642,IN,1645
99,Privy Councillors,Members of formal body of advisors to the sovereign,CA,1500,CA,1700
100,Members of the Royal Household,Members of the Royal Household,CA,1500,CA,1700
101,Dublin Philosophical Society,"A society ""agreeable to the design of the Royal Society in London"" which grew out of a group headed by William Molyneux who were collecting materials for the projected Pitt atlas of the British Isles. Formed in January 1684, hiatus 1688, revived 1694 with meetings ceasing by 1698. The Society was refounded by Samuel Molyneux in 1707, but lasted for only one year.",IN,1684,IN,1708
98,The King's Musik,"Members of the British Monarch's Music, musicians employed at the English Court. (Members of court chapels were organized separately, though some members of the King's Musik were also  chapel members.)",BF,1469,AF,1901
102,Eton College,one-time students of Eton College,CA,1500,CA,1700
104,Midwives,Named midwives,CA,1500,CA,1700
103,Elizabethan Playwrights,Elizabethan playwrights,IN,1558,IN,1603
105,Sidney Circle,Family members or close acquaintances of the extended Sidney circle,CA,1580,AF,1640
108,Trustees of Blackfriars Playhouse,Legal trustees of the (Second) Blackfriars Theatre,CA,1596,IN,1655
109,Recipe Contributors for Sir Kenelm Digby's Closet Opened,Named contributors of recipes to the cookbook Sir Kenelm Digby's Closet Opened 1669.,BF,1669,IN,1669
2,Participants in the Field of Cloth of Gold,Participants in the Field of Cloth of Gold,IN,1520,IN,1520
19,Patrons of the Mermaid tavern,"Patrons of the Mermaid tavern;  a broader category than the separate group, ""Fraternity of Sireniacal gentlemen""",CA,1611,CA,1611
31,Putney debaters,Putney debaters,IN,1647,IN,1647
111,Calvinists,A major branch of Protestantism that follows the theological tradition and forms of Christian practice of John Calvin ,CA,1519,AF,1700
65,Royal Society,society for the encouragement of philosophical studies,IN,1662,AF,1800
113,Opera of the Nobility,"The Opera of the Nobility was an opera company set up and funded in 1733 by a group of nobles (under Frederick, Prince of Wales) opposed to George II of England, in order to rival the Royal Academy of Music company under Handel, who was backed by George II and his queen).",AF,1700,IN,1737
114,Postmasters,Administrators placed in charge of the Royal Post or associated systems,AF/IN,1510,AF,1700
62,Tories,Tories,CA,1678,AF,1800
61,Whigs,Whigs,CA,1678,AF,1800
112,Royal Academy of Music I and II,"The Royal Academy of Music was a company founded in February 1719, during George Frideric Handel's residence at Cannons, by a group of aristocrats to secure themselves a constant supply of baroque (Italian) opera. The first Academy lasted until 1728, but Handel immediately started a second Academy.",AF,1700,IN,1734
115,Members of the College of Physicians,"The College of Physicians was founded to regulate medical practice in early modern London. (It came to be known as the 'Royal College of Physicians' later in the 17th century.) The first president, Linacre, wanted to found an academic body for physicians rather than a trade guild of the kind which regulated surgeons and apothecaries. A degree was usually required to gain a license. Candidates took an oral examination to demonstrate that they were classically educated and had sufficient medical knowledge.",IN,1518,CA,1700
72,Stationers Company,Stationers Company,IN,1403,AF,1800
57,Catholics,Catholics,BF,1400,AF,1800
